,state,year,quater,pincode,registered_users
0,andaman-&-nicobar-islands,2018,1,744103,1608
1,andaman-&-nicobar-islands,2018,1,744101,1108
2,andaman-&-nicobar-islands,2018,1,744105,1075
3,andaman-&-nicobar-islands,2018,1,744102,1006
4,andaman-&-nicobar-islands,2018,1,744104,272
5,andaman-&-nicobar-islands,2018,1,744202,237
6,andaman-&-nicobar-islands,2018,1,744112,215
7,andaman-&-nicobar-islands,2018,1,744301,207
8,andaman-&-nicobar-islands,2018,1,744107,196
9,andaman-&-nicobar-islands,2018,1,744211,156
10,andaman-&-nicobar-islands,2018,2,744103,2188
11,andaman-&-nicobar-islands,2018,2,744101,1521
12,andaman-&-nicobar-islands,2018,2,744105,1492
13,andaman-&-nicobar-islands,2018,2,744102,1419
14,andaman-&-nicobar-islands,2018,2,744104,396
15,andaman-&-nicobar-islands,2018,2,744202,343
16,andaman-&-nicobar-islands,2018,2,744112,299
17,andaman-&-nicobar-islands,2018,2,744107,293
18,andaman-&-nicobar-islands,2018,2,744301,273
19,andaman-&-nicobar-islands,2018,2,744211,240
20,andaman-&-nicobar-islands,2018,3,744103,2741
21,andaman-&-nicobar-islands,2018,3,744101,1978
22,andaman-&-nicobar-islands,2018,3,744105,1935
23,andaman-&-nicobar-islands,2018,3,744102,1803
24,andaman-&-nicobar-islands,2018,3,744104,507
25,andaman-&-nicobar-islands,2018,3,744202,446
26,andaman-&-nicobar-islands,2018,3,744112,388
27,andaman-&-nicobar-islands,2018,3,744107,384
28,andaman-&-nicobar-islands,2018,3,744301,372
29,andaman-&-nicobar-islands,2018,3,744211,327
30,andaman-&-nicobar-islands,2018,4,744103,3373
31,andaman-&-nicobar-islands,2018,4,744101,2498
32,andaman-&-nicobar-islands,2018,4,744105,2416
33,andaman-&-nicobar-islands,2018,4,744102,2231
34,andaman-&-nicobar-islands,2018,4,744104,634
35,andaman-&-nicobar-islands,2018,4,744202,554
36,andaman-&-nicobar-islands,2018,4,744107,548
37,andaman-&-nicobar-islands,2018,4,744112,496
38,andaman-&-nicobar-islands,2018,4,744211,433
39,andaman-&-nicobar-islands,2018,4,744301,425
40,andaman-&-nicobar-islands,2019,1,744103,4136
41,andaman-&-nicobar-islands,2019,1,744101,3030
42,andaman-&-nicobar-islands,2019,1,744105,2994
43,andaman-&-nicobar-islands,2019,1,744102,2667
44,andaman-&-nicobar-islands,2019,1,744104,756
45,andaman-&-nicobar-islands,2019,1,744202,753
46,andaman-&-nicobar-islands,2019,1,744107,667
47,andaman-&-nicobar-islands,2019,1,744112,585
48,andaman-&-nicobar-islands,2019,1,744211,524
49,andaman-&-nicobar-islands,2019,1,744301,488
50,andaman-&-nicobar-islands,2019,2,744103,4748
51,andaman-&-nicobar-islands,2019,2,744101,3631
52,andaman-&-nicobar-islands,2019,2,744105,3547
53,andaman-&-nicobar-islands,2019,2,744102,3008
54,andaman-&-nicobar-islands,2019,2,744202,885
55,andaman-&-nicobar-islands,2019,2,744104,878
56,andaman-&-nicobar-islands,2019,2,744107,787
57,andaman-&-nicobar-islands,2019,2,744112,672
58,andaman-&-nicobar-islands,2019,2,744211,633
59,andaman-&-nicobar-islands,2019,2,744301,534
60,andaman-&-nicobar-islands,2019,3,744103,5218
61,andaman-&-nicobar-islands,2019,3,744101,4026
62,andaman-&-nicobar-islands,2019,3,744105,3920
63,andaman-&-nicobar-islands,2019,3,744102,3250
64,andaman-&-nicobar-islands,2019,3,744202,982
65,andaman-&-nicobar-islands,2019,3,744104,975
66,andaman-&-nicobar-islands,2019,3,744107,885
67,andaman-&-nicobar-islands,2019,3,744112,765
68,andaman-&-nicobar-islands,2019,3,744211,701
69,andaman-&-nicobar-islands,2019,3,744301,575
70,andaman-&-nicobar-islands,2019,4,744103,5637
71,andaman-&-nicobar-islands,2019,4,744101,4321
72,andaman-&-nicobar-islands,2019,4,744105,4277
73,andaman-&-nicobar-islands,2019,4,744102,3485
74,andaman-&-nicobar-islands,2019,4,744202,1087
75,andaman-&-nicobar-islands,2019,4,744104,1062
76,andaman-&-nicobar-islands,2019,4,744107,953
77,andaman-&-nicobar-islands,2019,4,744112,812
78,andaman-&-nicobar-islands,2019,4,744211,783
79,andaman-&-nicobar-islands,2019,4,744301,611
80,andaman-&-nicobar-islands,2020,1,744103,6108
81,andaman-&-nicobar-islands,2020,1,744101,4689
82,andaman-&-nicobar-islands,2020,1,744105,4684
83,andaman-&-nicobar-islands,2020,1,744102,3727
84,andaman-&-nicobar-islands,2020,1,744202,1216
85,andaman-&-nicobar-islands,2020,1,744104,1154
86,andaman-&-nicobar-islands,2020,1,744107,1062
87,andaman-&-nicobar-islands,2020,1,744112,889
88,andaman-&-nicobar-islands,2020,1,744211,886
89,andaman-&-nicobar-islands,2020,1,744301,669
90,andaman-&-nicobar-islands,2020,2,744103,6804
91,andaman-&-nicobar-islands,2020,2,744105,5479
92,andaman-&-nicobar-islands,2020,2,744101,5365
93,andaman-&-nicobar-islands,2020,2,744102,4066
94,andaman-&-nicobar-islands,2020,2,744202,1475
95,andaman-&-nicobar-islands,2020,2,744104,1333
96,andaman-&-nicobar-islands,2020,2,744107,1252
97,andaman-&-nicobar-islands,2020,2,744112,1039
98,andaman-&-nicobar-islands,2020,2,744211,1036
99,andaman-&-nicobar-islands,2020,2,744205,806
100,andaman-&-nicobar-islands,2020,3,744103,8318
101,andaman-&-nicobar-islands,2020,3,744105,7007
102,andaman-&-nicobar-islands,2020,3,744101,6881
103,andaman-&-nicobar-islands,2020,3,744102,4919
104,andaman-&-nicobar-islands,2020,3,744202,1965
105,andaman-&-nicobar-islands,2020,3,744104,1718
106,andaman-&-nicobar-islands,2020,3,744107,1710
107,andaman-&-nicobar-islands,2020,3,744112,1372
108,andaman-&-nicobar-islands,2020,3,744211,1279
109,andaman-&-nicobar-islands,2020,3,744205,1008
110,andaman-&-nicobar-islands,2020,4,744103,10408
111,andaman-&-nicobar-islands,2020,4,744105,8962
112,andaman-&-nicobar-islands,2020,4,744101,8593
113,andaman-&-nicobar-islands,2020,4,744102,5882
114,andaman-&-nicobar-islands,2020,4,744202,2711
115,andaman-&-nicobar-islands,2020,4,744107,2346
116,andaman-&-nicobar-islands,2020,4,744104,2167
117,andaman-&-nicobar-islands,2020,4,744112,1761
118,andaman-&-nicobar-islands,2020,4,744211,1579
119,andaman-&-nicobar-islands,2020,4,744205,1346
120,andaman-&-nicobar-islands,2021,1,744103,11416
121,andaman-&-nicobar-islands,2021,1,744105,9934
122,andaman-&-nicobar-islands,2021,1,744101,9457
123,andaman-&-nicobar-islands,2021,1,744102,6395
124,andaman-&-nicobar-islands,2021,1,744202,3005
125,andaman-&-nicobar-islands,2021,1,744107,2586
126,andaman-&-nicobar-islands,2021,1,744104,2383
127,andaman-&-nicobar-islands,2021,1,744112,1940
128,andaman-&-nicobar-islands,2021,1,744211,1774
129,andaman-&-nicobar-islands,2021,1,744205,1505
130,andaman-&-nicobar-islands,2021,2,744103,12268
131,andaman-&-nicobar-islands,2021,2,744105,10668
132,andaman-&-nicobar-islands,2021,2,744101,10120
133,andaman-&-nicobar-islands,2021,2,744102,6837
134,andaman-&-nicobar-islands,2021,2,744202,3261
135,andaman-&-nicobar-islands,2021,2,744107,2783
136,andaman-&-nicobar-islands,2021,2,744104,2573
137,andaman-&-nicobar-islands,2021,2,744112,2083
138,andaman-&-nicobar-islands,2021,2,744211,1904
139,andaman-&-nicobar-islands,2021,2,744205,1626
140,andaman-&-nicobar-islands,2021,3,744103,13198
141,andaman-&-nicobar-islands,2021,3,744105,11480
142,andaman-&-nicobar-islands,2021,3,744101,10866
143,andaman-&-nicobar-islands,2021,3,744102,7313
144,andaman-&-nicobar-islands,2021,3,744202,3543
145,andaman-&-nicobar-islands,2021,3,744107,3027
146,andaman-&-nicobar-islands,2021,3,744104,2777
147,andaman-&-nicobar-islands,2021,3,744112,2250
