,state,year,quater,transaction_type,transaction_count,transaction_amount
0,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.4673655091
1,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982
2,andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.168646613
3,andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.419933464953
4,andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223
5,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479
6,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.231047668
7,andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008
8,andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509
9,andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576
10,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829
11,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.541635044
12,andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043
13,andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806485
14,andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323
15,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375
16,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177
17,andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656
18,andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286
19,andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435
20,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.8729725825
21,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.86839552
22,andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.8469614363
23,andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.43671861099
24,andaman-&-nicobar-islands,2019,1,Others,283,497094.6484417205
25,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256212333
26,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.66652842
27,andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.616619372
28,andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.91371326067
29,andaman-&-nicobar-islands,2019,2,Others,377,671471.222589792
